"Metric","Quantization","mean","sd","median","min","max","var"
"latency_s_per_token","FP16",3.44425336263736,1.94279220705459,3.12804388682048,0.953674634297689,8.81125617027283,3.77444155979203
"memory_mb","FP16",6489.50834037162,0.240999007036418,6489.6640625,6489.08203125,6489.6640625,0.0580805213925397
"cpu_percent","FP16",78.788915056907,3.2322910346733,79.6863325031133,70.3560606060606,84.1594036697248,10.4477053328294
"energy_j_per_token","FP16",0.807428713126136,0.602564718761802,0.681670999907403,0.0261405027489822,2.22224873372883,0.36308424029649
"latency_s_per_token","INT8",1.99063018585295,0.973461398159191,1.69809994978063,0.634207912560167,4.85631728172302,0.947627093706046
"memory_mb","INT8",3599.53579757463,0.0832859631032847,3599.58203125,3599.28125,3599.58203125,0.0069365516500417
"cpu_percent","INT8",78.7010483781227,3.85993143762983,79.5106132075472,68.7678571428571,84.6858108108108,14.8990707032031
"energy_j_per_token","INT8",0.400532237917178,0.289619726262786,0.375660302242017,0.019222311407286,1.12228110759384,0.0838795858405308
"latency_s_per_token","INT4",1.02255964735365,0.622807226761557,0.912806573667024,0.341673035219491,3.0479777124193,0.387888841706421
"memory_mb","INT4",3416.99657206633,0.0169076533566329,3416.984375,3416.984375,3417.01953125,0.000285868742028061
"cpu_percent","INT4",70.5985625940329,5.35041557570526,71.7517857142857,54.5684523809524,80.0300925925926,28.6269468327494
"energy_j_per_token","INT4",0.8010854013698,1.22540842251164,0.284883231068638,0.0100129052267939,4.57575200445059,1.50162580196247
