"Metric","Quantization","mean","sd","median","min","max","var"
"latency_s_per_token","FP16",2.34217265159051,1.47743150501106,1.91385244184765,0.920614427990384,7.92321664094925,2.18280385199924
"memory_mb","FP16",6112.98852539062,0.0221832357257823,6113.00390625,6112.95703125,6113.00390625,0.000492095947265625
"cpu_percent","FP16",80.2605017844655,3.25847656389065,80.9130374351371,71.154296875,85.8268072289157,10.6176695174246
"energy_j_per_token","FP16",0.598980350797106,0.40645431697708,0.45840544209371,0.0186506424740644,1.70368151426009,0.165205111789304
"latency_s_per_token","INT8",1.63383015306111,1.22114859755587,1.25747670872406,0.623802906846347,7.95901410920279,1.49120389731267
"memory_mb","INT8",3349.23520359848,0.0972684973884528,3349.15234375,3349.15234375,3349.34765625,0.00946116058420746
"cpu_percent","INT8",80.5622944269125,3.22672476876521,81.3282578656463,72.3836206896552,85.4186507936508,10.4117527333629
"energy_j_per_token","INT8",0.3666185052958,0.301351787760608,0.261587359781588,0.013350185761082,1.20650925147707,0.0908128999865147
"latency_s_per_token","INT4",0.943132867296346,0.368855066387846,0.887288982527597,0.40582664085157,1.95513650950264,0.136054059999982
"memory_mb","INT4",3400.12890625,0,3400.12890625,3400.12890625,3400.12890625,0
"cpu_percent","INT4",71.0967102434935,5.77955470041371,73.2067307692308,57.1145833333333,78.6714743589744,33.4032525350742
"energy_j_per_token","INT4",0.202532948254117,0.160747914513035,0.173808512267049,0.00804419059632043,0.628062672161598,0.0258398920202901
