"Metric","Quantization","mean","sd","median","min","max","var"
"latency_s_per_token","FP16",2.7059829969758,2.21201197624435,1.97953097917596,0.98198253767831,11.7649939741407,4.89299698304845
"memory_mb","FP16",6525.15923713235,0.0501567950914532,6525.16796875,6525.04296875,6525.1953125,0.00251570409384603
"cpu_percent","FP16",77.9873202073958,2.92487302430922,79.0306759169101,70.4613095238095,82.2779255319149,8.55488220833175
"energy_j_per_token","FP16",2.16499810618292,2.03957973044768,1.48336294030045,0.0397391412580279,7.00431008367854,4.15988547685302
"latency_s_per_token","INT8",1.49922627031318,0.696928339421921,1.30681470632553,0.631101968553331,4.02522864341736,0.485709110289396
"memory_mb","INT8",3649.59046648551,0.0603059544601447,3649.64453125,3649.48828125,3649.64453125,0.00363680814334905
"cpu_percent","INT8",77.9670437560319,4.24610685736266,78.8835227272727,67.0578703703704,83.78,18.0294234441422
"energy_j_per_token","INT8",0.320717801053708,0.191445163474184,0.335509492845914,0.0212523376419584,0.852220354580606,0.0366512506176571
"latency_s_per_token","INT4",1.02194586365684,0.721837727582079,0.804612801625178,0.437802969463288,3.74356384277344,0.52104970496086
"memory_mb","INT4",3690.87132352941,0.0115986492740154,3690.87890625,3690.85546875,3690.88671875,0.000134528664981617
"cpu_percent","INT4",70.6752939827079,4.34974420607077,71.9166666666667,59.26875,78.5565476190476,18.9202746582462
"energy_j_per_token","INT4",0.207297992876157,0.154722620464419,0.176267534498352,0.010831822117854,0.626547583723675,0.0239390892833767
