run_id,run_status,model,quantization_level,task_type,row_id,f1,rougeL,tokens_per_sec,avg_cpu_percent,max_rss_mb,energy per token (J/t)
run_0409,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,1786,,0.1707317073170731,5.52,70.0,3705.3984375,0.023989625125991
run_0440,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,4012,,0.1643835616438356,5.4,70.38,3705.41015625,0.5054913139872478
run_0441,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,1535,1.0,,5.49,72.34447674418605,3705.41015625,0.0221856752021876
run_0452,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,8604,0.0,,5.58,68.71982758620689,3705.41015625,0.1762675344983522
run_0503,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,2710,,0.3272727272727272,6.19,61.51973684210526,3705.41015625,0.1391843405907361
run_0546,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,7354,0.1176470588235294,,5.06,74.25,3705.421875,0.1719097793865425
run_0564,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,7728,,0.2,6.07,60.45723684210526,3705.421875,0.1415294605880135
run_0649,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,1617,,0.074074074074074,5.52,70.29647435897436,3705.421875,0.2859503498456383
run_0672,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,385,,0.2285714285714286,5.25,73.74177631578948,3705.44140625,0.1672565143421396
run_0677,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_SHORT,4627,,0.1666666666666666,5.82,65.2025,3705.44140625,0.1381718894079041
run_0093,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3553,1.0,,6.03,74.39144736842105,3705.203125,0.1988517861482008
run_0106,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,10139,,0.1647058823529411,4.6,78.55654761904762,3705.203125,0.2616397239789867
run_0111,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,8714,,0.1025641025641025,5.59,72.26286764705883,3705.28125,0.1115941543582772
run_0121,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,2988,0.3636363636363636,,5.71,70.22629310344827,3705.28125,0.127462419011615
run_0138,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,4927,,0.1864406779661017,5.36,74.69642857142857,3705.28125,0.2681680645862231
run_0165,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3209,,0.1599999999999999,5.28,72.4234375,3705.1875,0.2934489880343477
run_0181,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3354,1.0,,5.48,73.55255681818181,3705.1875,0.217438408387075
run_0303,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,8299,0.0,,5.82,67.37962962962963,3705.36328125,0.113205990790298
run_0321,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3865,0.4444444444444445,,5.39,74.88719512195122,3705.3984375,0.35325291628071
run_0349,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,8671,,0.1219512195121951,5.51,75.34298780487805,3705.3984375,0.0169737807474376
run_0352,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,925,0.0,,5.83,66.54629629629629,3705.3984375,0.2217233921736634
run_0371,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,1324,,0.0666666666666666,5.65,67.89166666666667,3705.3984375,0.22191166608446
run_0412,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,2321,,0.3389830508474576,5.35,73.0,3705.41015625,0.2043988053476382
run_0427,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,6026,0.0,,5.66,70.7081081081081,3705.41015625,0.3081346149985016
run_0429,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3947,0.0555555555555555,,5.64,71.36964285714286,3705.41015625,0.2349842245826475
run_0476,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3051,,0.1428571428571428,5.37,76.92952127659575,3705.41015625,0.0921066671919441
run_0512,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,6609,,0.1388888888888889,6.18,59.26875,3705.41015625,0.1195979002580862
run_0538,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,2421,0.2857142857142857,,5.51,75.6891891891892,3705.421875,0.021517945683063
run_0540,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,3312,,0.1568627450980392,5.63,73.00378787878788,3705.421875,0.1151221313574702
run_0560,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,1728,,0.1123595505617977,5.56,71.36538461538461,3705.421875,0.2629930977825753
run_0582,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,10269,,0.2068965517241379,5.32,71.91666666666667,3705.421875,0.0189441400806114
run_0590,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,6611,,0.1489361702127659,5.58,72.63636363636364,3705.421875,0.1050106600332944
run_0651,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,170,,0.3095238095238095,5.91,64.52777777777777,3705.43359375,0.0964354633275255
run_0683,"COMPLETED
",LLaMA-2-3B,INT4,SUMM_LONG,760,0.5555555555555556,,5.75,60.95454545454545,3705.44140625,0.0108318221178539
run_0089,"COMPLETED
",LLaMA-2-3B,INT4,QA,7289,,0.1194029850746268,6.18,73.77217741935483,3705.203125,0.6265475837236749
run_0184,"COMPLETED
",LLaMA-2-3B,INT4,QA,9657,,0.04,5.24,71.86458333333333,3705.32421875,0.607403171603795
run_0259,"COMPLETED
",LLaMA-2-3B,INT4,QA,4722,,0.144578313253012,5.65,69.18243243243244,3705.33984375,0.0597434365550203
run_0309,"COMPLETED
",LLaMA-2-3B,INT4,QA,5668,,0.2558139534883721,5.57,71.16428571428571,3705.3984375,0.4669036530668732
run_0360,"COMPLETED
",LLaMA-2-3B,INT4,QA,762,,0.1037037037037037,5.3,74.69256756756756,3705.3984375,0.3636937617281503
run_0378,"COMPLETED
",LLaMA-2-3B,INT4,QA,7244,,0.125,5.51,73.22697368421052,3705.3984375,0.4868249629673952
run_0653,"COMPLETED
",LLaMA-2-3B,INT4,QA,8861,,0.1724137931034482,5.54,72.04391891891892,3705.43359375,0.0187909931882393
run_0059,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,10204,,0.1363636363636363,1.91,79.42816091954023,6539.4453125,6.417822934087222
run_0065,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,1617,,0.04,1.87,80.40120967741936,6539.453125,5.760738178072517
run_0071,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,3832,0.6666666666666666,,1.95,77.59848484848484,6539.453125,3.82979529153213
run_0076,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,8908,,0.2465753424657534,1.9,80.03125,6539.5,4.950095534447783
run_0110,"COMPLETED
",LLaMA-2-3B,FP16,QA,8199,,0.2736842105263157,2.1,73.9796511627907,6539.671875,7.004310083678544
run_0126,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2475,,0.064516129032258,1.97,80.905,6539.671875,4.308391417428505
run_0140,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3312,1.0,,1.93,79.95727848101266,6539.671875,3.6755629626244968
run_0155,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,10138,,0.1935483870967742,1.96,79.08561643835617,6539.671875,2.6257108862576657
run_0174,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,2710,,0.09375,2.15,71.70089285714286,6539.671875,3.332236139263125
run_0182,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,8759,,0.0666666666666666,1.87,81.09700520833333,6539.671875,6.050595658489731
run_0185,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3552,0.0,,1.88,78.50210674157303,6539.671875,4.02332347276613
run_0195,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,4996,0.0,,1.94,77.07352941176471,6539.734375,3.2909236918940565
run_0197,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2421,,0.1176470588235294,1.9,78.81178977272727,6539.734375,3.892850705844293
run_0199,"COMPLETED
",LLaMA-2-3B,FP16,QA,762,,0.2295081967213114,1.86,78.89627659574468,6539.6953125,5.971947601955946
run_0213,"COMPLETED
",LLaMA-2-3B,FP16,QA,6521,0.1818181818181818,,1.7,73.11800847457627,6539.6953125,1.5995035928014496
run_0235,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3947,,0.1891891891891892,1.92,79.53201219512195,6539.6953125,0.172685305794333
run_0240,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,3928,,0.2201834862385321,1.81,78.80397727272727,6538.97265625,6.6319736167385965
run_0247,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,4418,1.0,,2.03,71.234375,6539.6953125,0.6929966316460058
run_0250,"COMPLETED
",LLaMA-2-3B,FP16,QA,9116,0.3636363636363636,,1.79,79.05929487179488,6539.6953125,2.1013945196768558
run_0268,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,4927,0.6666666666666666,,1.88,80.958125,6539.6953125,0.4442043128655734
run_0295,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,7728,1.0,,2.07,70.46130952380952,6538.97265625,2.4439268949909136
run_0322,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,4091,0.5,,1.93,76.68958333333333,6539.78125,0.7589931685878364
run_0328,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,8502,,0.1818181818181818,1.9,78.18166666666667,6539.78125,0.7134311754108942
run_0336,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,6020,1.0,,1.87,81.65178571428571,6538.97265625,4.259546728553869
run_0338,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,1728,0.6666666666666665,,1.88,79.72411616161617,6539.78125,0.2973679974144667
run_0341,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,2321,,0.2444444444444445,1.85,79.88615196078432,6539.80859375,0.274196583589836
run_0355,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,7828,1.0,,1.85,80.41756756756757,6539.80859375,0.446385723565086
run_0381,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,245,,0.1487603305785124,1.77,72.95370370370371,6538.97265625,2.960248132200346
run_0387,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,7354,,0.1132075471698113,1.91,80.51785714285714,6539.80859375,1.4592691789386327
run_0389,"COMPLETED
",LLaMA-2-3B,FP16,QA,8305,1.0,,1.91,75.61920289855072,6539.80859375,1.507456701662266
run_0417,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,385,,0.1702127659574468,1.89,81.23263888888889,6539.80859375,0.448417197020563
run_0418,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_LONG,3211,1.0,,1.88,79.6256443298969,6539.80859375,0.4447486762076126
run_0421,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,474,0.0,,1.95,72.00297619047619,6538.97265625,2.407113060118874
run_0428,"COMPLETED
",LLaMA-2-3B,FP16,QA,2106,,0.1149425287356322,1.93,77.24691358024691,6539.80859375,3.682962112717748
run_0436,"COMPLETED
",LLaMA-2-3B,FP16,SUMM_SHORT,9893,,0.1311475409836065,2.23,75.49864130434783,6538.97265625,1.9102424333617296
